split,model,scope,horizon_frames,horizon_seconds,samples,mean_error_px,rmse_px,median_error_px,p90_error_px,improvement_vs_cv_pct
LOVO_macro,history_ridge,horizon,15,0.5501,29720,8.5514,13.643,5.4801,20.5263,5.4558
LOVO_macro,history_ridge,horizon,30,1.1002,29720,23.7079,39.642,13.2268,66.7708,11.3436
LOVO_macro,history_ridge,horizon,45,1.6504,29720,54.2214,92.5105,27.1879,163.4002,10.2637
LOVO_macro,history_ridge,ADE,45,1.6504,29720,19.0272,30.7998,10.6911,53.2303,8.9009
LOVO_macro,full_ridge,horizon,5,0.1834,29720,3.0576,4.8363,2.0705,6.5706,-5.9732
LOVO_macro,full_ridge,horizon,10,0.3667,29720,5.5856,8.8324,3.7124,12.5945,-0.1508
LOVO_macro,full_ridge,horizon,15,0.5501,29720,8.5459,13.6293,5.4682,20.462,5.5101
LOVO_macro,full_ridge,horizon,30,1.1002,29720,23.7211,39.6393,13.2274,66.836,11.298
LOVO_macro,full_ridge,horizon,45,1.6504,29720,54.2417,92.5324,27.2446,163.4111,10.2404
LOVO_macro,full_ridge,ADE,45,1.6504,29720,19.0304,30.7982,10.6874,53.1919,8.8919
