split,model,category,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks3,constant_velocity,all,horizon,30,5554,30.1952,18.0132,75.4989,0.0
member2_canonical_tracks3,constant_velocity,all,ADE,30,5554,13.0362,8.3251,30.8932,0.0
member2_canonical_tracks3,constant_velocity,stable,horizon,5,3215,3.4517,2.3423,7.5641,0.0
member2_canonical_tracks3,constant_velocity,stable,horizon,10,3215,7.2366,4.5006,17.5975,0.0
member2_canonical_tracks3,constant_velocity,stable,horizon,15,3215,12.4467,7.2686,32.2976,0.0
member2_canonical_tracks3,constant_velocity,stable,horizon,30,3215,34.8823,19.5166,94.7795,0.0
member2_canonical_tracks3,constant_velocity,stable,ADE,30,3215,14.5043,8.3705,38.644,0.0
member2_canonical_tracks3,constant_velocity,turning,horizon,5,1816,3.7191,2.9049,7.0554,0.0
member2_canonical_tracks3,constant_velocity,turning,horizon,10,1816,6.8481,5.2876,13.167,0.0
member2_canonical_tracks3,constant_velocity,turning,horizon,15,1816,10.3628,8.0337,20.1255,0.0
member2_canonical_tracks3,constant_velocity,turning,horizon,30,1816,24.894,17.8494,49.5016,0.0
member2_canonical_tracks3,constant_velocity,turning,ADE,30,1816,11.456,8.457,22.4122,0.0
member2_canonical_tracks3,constant_velocity,speed_change,horizon,5,523,3.5668,2.853,6.7284,0.0
member2_canonical_tracks3,constant_velocity,speed_change,horizon,10,523,5.9232,4.8962,10.6478,0.0
member2_canonical_tracks3,constant_velocity,speed_change,horizon,15,523,8.7121,7.0637,15.3892,0.0
member2_canonical_tracks3,constant_velocity,speed_change,horizon,30,523,19.7899,15.0994,38.1995,0.0
member2_canonical_tracks3,constant_velocity,speed_change,ADE,30,523,9.498,7.7161,16.692,0.0
member2_canonical_tracks3,constant_velocity,dynamic,horizon,5,2339,3.6851,2.8972,6.9861,0.0
member2_canonical_tracks3,constant_velocity,dynamic,horizon,10,2339,6.6413,5.1785,12.5687,0.0
member2_canonical_tracks3,constant_velocity,dynamic,horizon,15,2339,9.9937,7.7134,19.028,0.0
member2_canonical_tracks3,constant_velocity,dynamic,horizon,30,2339,23.7527,17.0641,47.3425,0.0
member2_canonical_tracks3,constant_velocity,dynamic,ADE,30,2339,11.0182,8.2954,21.2795,0.0
member2_canonical_tracks3,local_history_ungated,all,horizon,5,5554,3.3234,2.4154,6.7262,6.3827
member2_canonical_tracks3,local_history_ungated,all,horizon,10,5554,6.156,4.3153,12.6404,11.8804
member2_canonical_tracks3,local_history_ungated,all,horizon,15,5554,9.582,6.5479,20.3483,16.0476
member2_canonical_tracks3,local_history_ungated,all,horizon,30,5554,23.821,14.9965,53.9305,21.1102
member2_canonical_tracks3,local_history_ungated,all,ADE,30,5554,10.7206,7.0643,22.8508,17.7629
member2_canonical_tracks3,local_history_ungated,stable,horizon,5,3215,3.3541,2.2485,7.4831,2.8277
member2_canonical_tracks3,local_history_ungated,stable,horizon,10,3215,6.4393,4.1641,14.4251,11.0172
member2_canonical_tracks3,local_history_ungated,stable,horizon,15,3215,10.3218,6.4027,24.6431,17.0722
member2_canonical_tracks3,local_history_ungated,stable,horizon,30,3215,26.8308,15.6956,66.3343,23.0821
member2_canonical_tracks3,local_history_ungated,stable,ADE,30,3215,11.7365,7.1346,28.4318,19.0829
member2_canonical_tracks3,local_history_ungated,turning,horizon,5,1816,3.3231,2.6079,6.2246,10.6468
